Компания,Дата,Статус,Откликов
MGCOM,27.08.2026,Отказ,2
Demis Group,27.08.2026,Отказ,1
билайн: Офис,26.08.2026,Ответ работодателя,1
Кадровое агентство Personect,26.08.2026,Отклик,1
ГК ВИЗАВИ Консалт,26.08.2026,Ответ работодателя,2
Аптечная сеть Ваша №1 х Таблетка.ру,26.08.2026,Отклик,1
Johnson & Johnson,26.08.2026,Отклик,2
FIX,26.08.2026,Отклик,2
СберМобайл,25.08.2026,Отказ,1
ТракМоторс,24.08.2026,Ответ работодателя,1
Торгово промышленная компания,24.08.2026,Ответ работодателя,1
Платформа Экзэдрайв,24.08.2026,Отклик,1
ЛИКСИ,24.08.2026,Ответ работодателя,1
Ворон Консалт,24.08.2026,Ответ работодателя,1
Multiple Choice,24.08.2026,Отклик,2
MERLION: Дистрибуция,24.08.2026,Ответ работодателя,3
Fersol,24.08.2026,Отклик,1
Dreams by Alena Akhmadullina,24.08.2026,"Наталья, добрый день! Есть ли у вас б",1
Staffwell,23.08.2026,Ответ работодателя,1
ФК ЛОКОМОТИВ,21.08.2026,Отклик,1
СЭМС,21.08.2026,Ответ работодателя,1
Объединенные кондитеры,21.08.2026,Ответ работодателя,1
Мокка,21.08.2026,Отклик,1
ЛЭтуаль Офис,21.08.2026,Отклик,3
Купер Развитие,21.08.2026,Отклик (ранее отказ),2
Детский мир. Офис,21.08.2026,Отказ,2
Аскотт Деко Рус,21.08.2026,Отклик,1
Media Direction Group,21.08.2026,Ответ работодателя,1
HeadHunter::Комплексные продажи,21.08.2026,Ответ работодателя,1
Absolut,21.08.2026,Ответ работодателя,2
Faberlic,20.08.2026,Отклик,1
Cornerstone Russia,20.08.2026,Собеседование,4
Транспортная компания Kit,19.08.2026,Ответ работодателя,1
Технопарк Офис,19.08.2026,Ответ работодателя,1
Моя Вакансия,19.08.2026,Ответ работодателя,1
"Монетка, Торговая сеть",19.08.2026,Ответ работодателя,1
"Керамик Солюшнс Рус, (Церсанит)",19.08.2026,Ответ работодателя,2
Кенгуру,19.08.2026,Ответ работодателя,1
Кадровый центр «ПРЕЗИДЕНТ»,19.08.2026,Ответ работодателя,2
Кадровое агентство Светланы Смирновой,19.08.2026,Ответ работодателя,1
ИНВИТРО. Маркетинг и реклама,19.08.2026,Ответ работодателя,2
ДИКСИ. Офис,19.08.2026,Ответ работодателя,1
Бакарди Рус,19.08.2026,Ответ работодателя,1
Айковер ПРО,19.08.2026,Ответ работодателя,2
VVP Group,19.08.2026,Ответ работодателя,3
MERLION: Бэк-офис,19.08.2026,Ответ работодателя,1
BNS Group,19.08.2026,Ответ работодателя,1
AUVIX,19.08.2026,Ответ работодателя,1
Парк Сказка,18.08.2026,Собеседование,1
Русплитка,16.08.2026,Отказ,1
Самокат. Офис,14.08.2026,Отказ,1
Иви,14.08.2026,Отказ,3
ДИВАН.РУ,14.08.2026,Ответ работодателя,3
ВсеИнструменты.ру,14.08.2026,Собеседование,3
Авито: продажи,14.08.2026,Отказ,3
YAMAGUCHI,14.08.2026,Отказ,1
Koroleva HR,14.08.2026,Отказ,2
Continental-HR,14.08.2026,Отказ,2
Яндекс.Маркет,13.08.2026,Ответ работодателя (ранее отказ),3
Соткон,13.08.2026,Отказ,1
Крупный федеральный производитель товаров народного потребления (розница + онлайн),13.08.2026,Ответ работодателя,1
Группа компаний ЭМИЛИНК,13.08.2026,Отказ,1
Sunlight,13.08.2026,Отказ,3
Мир Хобби,12.08.2026,Отказ,1
Крупная российская компания в сфере оптовой дистрибуции non-food товаров ищет Коммерческого директора.,12.08.2026,Отказ,1
Экологистика,11.08.2026,Отказ,1
"Крупная российская компания, занимающаяся продажами и продвижением строительного оборудования и инструментов",11.08.2026,Отказ,1
JT marketing,11.08.2026,Отклик,1
ABS GROUP,11.08.2026,Ответ работодателя,1
Тулс,10.08.2026,Отказ,1
СИНЕРГИЯ,10.08.2026,Отказ,1
ГК Addwise/Addpro,10.08.2026,Отклик,1
Бьюти-ретейлер Золотое Яблоко,10.08.2026,Отклик,1
rodinka.recruitment (ИП Звездин Егор Романович),10.08.2026,Ответ работодателя,1
Phygital+,10.08.2026,Отказ,1
Эксклюзивный дистрибьютор премиального бренда,06.08.2026,Отказ,1
ФАКЕЛ,05.08.2026,Отказ,1
Управляющая Компания,05.08.2026,Отклик,2
Лидирующая FMCG компания,05.08.2026,Отказ,1
ГРИДЕМ,05.08.2026,Отказ,1
Ведущая торговая сеть,05.08.2026,Отклик,1
БАЛХАШ,05.08.2026,Отклик,1
"«Группа Черкизово», Торговый дом",05.08.2026,Отклик,1
Travelata.ru (ООО Травелата),05.08.2026,Отклик,1
ProfiStaff,05.08.2026,Отклик,3
Элкон Ритейл,04.08.2026,Ответ работодателя,2
Свеза. Центральный Офис,04.08.2026,Ответ работодателя,1
Рекрутинговое агентство HRSales,04.08.2026,Ответ работодателя,1
Меридиан,04.08.2026,Отказ,3
Центр современного искусства Винзавод,03.08.2026,Отклик,1
ТВОЕ,03.08.2026,Отклик (ранее отказ),3
ПЛЭЙТУДЭЙ СНГ,03.08.2026,Отказ,2
Леонардо,03.08.2026,Отклик,1
Игроник,03.08.2026,Отклик,1
Данилов Артем Игоревич,03.08.2026,Отклик,1
Белатрикс (ЦО),03.08.2026,Отклик,1
Lucky Hunter,03.08.2026,Отказ,1
Invisiline (ООО Невидимые Решетки),03.08.2026,Отказ,1
Fissman,03.08.2026,Отклик,1
Brandquad,03.08.2026,Отклик,1
Общество с ограниченной ответственностью ДИПСИНК,31.07.2026,Отказ,1
Морфеус,31.07.2026,Ответ работодателя,1
Магнит OMNI,31.07.2026,Отказ,3
Mercury,31.07.2026,Отказ,1
Cotton Club (Коттон Клаб),31.07.2026,Отказ,1
"MR Group, группа компаний",30.07.2026,Отклик,1
Островок.Маркетинг,28.07.2026,Отказ,1
Lassie,28.07.2026,Ответ работодателя (ранее отказ),2
Хомяков Алексей Николаевич,27.07.2026,Ответ работодателя,1
МАЙ,27.07.2026,Отклик,1
Глебовская Екатерина Александровна,27.07.2026,Отказ,1
COZY HOME,27.07.2026,Отказ,2
Альфа-Банк. Центральный офис,25.07.2026,Отказ,5
Дом Лента,24.07.2026,Отклик,2
Т2. Аdtech,23.07.2026,Ответ работодателя,1
Наука Подбора,23.07.2026,Ответ работодателя,1
"Группа компаний «Group4Media», Управляющая компания",23.07.2026,Отклик,1
Аэрофлот,23.07.2026,Отклик,1
Волков Александр Сергеевич,22.07.2026,Отказ,1
Бакулина Виктория Анатольевна,22.07.2026,Ответ работодателя,1
CloudPayments,22.07.2026,Отказ,1
Бренд бытовой техники,21.07.2026,Отклик,1
Рекрутинговое агентство Натальи Егоровой,20.07.2026,Отказ,3
Крупная торгово-производственная компания,20.07.2026,Отклик,3
ИМПОРТ ТРЕЙД,20.07.2026,Ответ работодателя,1
Fix Price. Офис,20.07.2026,Отклик (ранее отказ),2
Пятёрочка. Диджитал,15.07.2026,Отказ,2
Прямой Контракт,15.07.2026,Отклик,1
Маунфелд Рус,15.07.2026,Ответ работодателя,1
Заиченко Екатерина Александровна,15.07.2026,Ответ работодателя,1
Магер Анастасия Степановна,11.07.2026,Ответ работодателя (ранее отказ),2
ЛУКОЙЛ,10.07.2026,Отклик,1
ПРАБО,09.07.2026,Отклик,2
"МАГНИТ, Розничная сеть. Заряд",09.07.2026,Отказ,1
Комус,09.07.2026,Собеседование,3
COLIN'S,09.07.2026,Ответ работодателя,1
Денкирс Рус,07.07.2026,Ответ работодателя,1
HOLODILNIK.RU,07.07.2026,Ответ работодателя,1
ФРОГ,06.07.2026,Отказ,1
Williams Oliver,06.07.2026,Отказ,1
LAB Industries,06.07.2026,Отказ,1
Семинова Кристина Викторовна,04.07.2026,Ответ работодателя,1
VOIS (ООО Рокет Лаунч),02.07.2026,Отказ,1
Детский мир. ДМ-тех,01.07.2026,Отклик,1
Группа компаний LETTA,01.07.2026,Ответ работодателя,1
ЦРТ | Группа компаний,30.06.2026,Отклик,1
Сбер2B,30.06.2026,Отказ,1
СТОКРОС-ТРЕЙД,30.06.2026,Отказ,1
Климат М,30.06.2026,Отказ,1
Камит-Экспорт,30.06.2026,Отклик,1
ДрайвБайк,30.06.2026,Ответ работодателя,1
BRANDFREE,30.06.2026,Отказ,1
СИМБАТ,29.06.2026,Ответ работодателя,1
Крупный федеральный омниканальный ритейлер,29.06.2026,Отказ,1
Агентство кадрового аутсорсинга ALL HR,29.06.2026,Собеседование,1
ARYA HOME,29.06.2026,Отклик,1
Экстего,26.06.2026,Отказ,1
Терминус,26.06.2026,Ответ работодателя,1
Эверест,24.06.2026,Отказ,1
Х5 ИМПОРТ,24.06.2026,Отказ,1
Фомина Алевтина,24.06.2026,Отклик,2
Группа компаний «Ренна»,24.06.2026,Ответ работодателя,1
Körting,24.06.2026,Ответ работодателя,1
Apeyron Electrics,24.06.2026,Отказ,1
С-МАРКЕТ,23.06.2026,Отказ,1
Петровакс Фарм,23.06.2026,Отказ,1
Октопустех,23.06.2026,Отказ,1
«Азбука вкуса». Digital&e-com,22.06.2026,Отклик,2
Realweb,22.06.2026,Отказ,1
LITOKOL,22.06.2026,Отклик,1
12 STOREEZ,22.06.2026,Отклик,2
UP business,19.06.2026,Ответ работодателя,1
Торгово - производственная компания,18.06.2026,Отклик,1
Kostando,18.06.2026,Ответ работодателя,1
Один из ведущих в нише В2В-дистрибьютор,17.06.2026,Отказ,1
Холдинговая компания АлфиГрупп,16.06.2026,Отказ,1
Серт Эксперт,16.06.2026,Отклик,1
Крупная FMCG компания индустрии красоты,16.06.2026,Отказ,1
Дёке Трейд Маркетинг,16.06.2026,Отказ,2
Группа МЕТТАТРОН,16.06.2026,Отказ,1
Marc O'Polo RUS,16.06.2026,Отклик,2
IBC Human Resources,16.06.2026,Отказ,1
Международная Рекрутинговая Корпорация Лана,15.06.2026,Отказ,1
Группа ПРОДО,15.06.2026,Отклик,1
Альфа,15.06.2026,Отклик,1
SPLAT,15.06.2026,Отказ,1
Lofty.,15.06.2026,Ответ работодателя,1
HARTUNG,15.06.2026,Отказ,1
РОКО,14.06.2026,Отказ,1
Эйчар Хаб,11.06.2026,Ответ работодателя,1
ИДС Боржоми,11.06.2026,Ответ работодателя,1
Динамично растущая компания,11.06.2026,Отклик,1
PerfecTech,11.06.2026,Собеседование,1
Рива Групп,10.06.2026,Отказ,1
Нутлайн,10.06.2026,Отказ,1
МИЛТИ,10.06.2026,Отказ,1
WINER GROUP,10.06.2026,Отклик,1
SILENKO AUTOcratia,10.06.2026,Отклик,1
Управляющая компания Мой Гектар,09.06.2026,Отклик,1
Розничная торговля,09.06.2026,Отказ,1
Группа Компаний Буран,09.06.2026,Отклик,1
Всегда рядом,09.06.2026,Собеседование,1
Альвента,09.06.2026,Ответ работодателя,1
АФИНА,09.06.2026,Отклик,1
LIMONI,09.06.2026,Отказ,2
Coleman Group,09.06.2026,Отказ,1
Alta Personnel,09.06.2026,Отказ,1
Это Платежи,08.06.2026,Отказ,1
Сбер для экспертов,08.06.2026,Отклик (ранее отказ),2
Протеко,08.06.2026,Отклик,1
Мэннер Энд Мэттер,08.06.2026,Отклик,1
МЕТИЗ ИМПЭКС,08.06.2026,Отказ,1
Горев Алексей Святославович,08.06.2026,Отказ,1
Алгоритм С,08.06.2026,Отклик,1
АО ФК Консортум,08.06.2026,Отклик,1
OCS,08.06.2026,Отклик,1
ArrowMedia,08.06.2026,Отказ,1
DAgroup,05.06.2026,Отказ,1
крупная розничная сеть,04.06.2026,Отказ,1
Ozon fresh,04.06.2026,Отклик,2
Хайлер,03.06.2026,Отказ,1
Лазарева Анна Александровна,03.06.2026,Отказ,1
Агуреев Андрей Александрович,03.06.2026,Ответ работодателя,1
"«МТС», Поддержка клиентов",03.06.2026,Отказ,1
"Elis Fashion Rus, Группа компаний",02.06.2026,Ответ работодателя,1
Циан,01.06.2026,Отказ,1
Квант,01.06.2026,Отказ,1
Газпромбанк. Общий банк,01.06.2026,Отклик,1
LAVARICE,01.06.2026,Отклик,1
Сержио Стефано,29.05.2026,Отклик,1
МАКСИМА,29.05.2026,Отказ,2
"Крупная федеральная компания. Рынок b2b услуг, клиенты крупного, среднего и малого бизнеса",29.05.2026,Отклик,1
Генпро,29.05.2026,Отказ,1
Бот hh.ru,29.05.2026,Ответ работодателя,1
Staffberry,28.05.2026,Отказ,1
ГК Новый город (Специализированный застройщик),27.05.2026,Отказ,1
"585, Холдинг",27.05.2026,Ответ работодателя,2
Рейнц,26.05.2026,Отказ,1
Крупная производственная компания,26.05.2026,Отказ,1
Полаир,25.05.2026,Отклик,1
"Петрович, Строительный Торговый Дом",25.05.2026,Отклик,1
Губанова и Партнеры,25.05.2026,Отказ,1
Wellbrands Solutions,25.05.2026,Отказ,1
Закрытый поиск в FMCG холдинг.,23.05.2026,Отказ,1
Точно.,22.05.2026,Отказ,1
PATRIOT,21.05.2026,Ответ работодателя,2
LEOMAX,20.05.2026,Отказ,1
РДВ Технолоджи,19.05.2026,Отклик,1
Милерд Электроникс,19.05.2026,Отклик,1
ЗИТРЕК РУС,19.05.2026,Отклик,1
Группа Компаний Рикор,19.05.2026,Отклик,1
Восточная Дистрибьюторская Компания,19.05.2026,Отклик,1
Виноконьячный Дом Альянс-1892,19.05.2026,Отклик,1
Ventra,19.05.2026,Отклик,2
KOOh (ООО ЕКОМ КОМПАНИ),19.05.2026,Отклик,1
Кадровое агентство «Синергия»,18.05.2026,Отклик,1
OSTIN. Офис и мастерская,18.05.2026,Отклик,1
ЮЛИУС МАЙНЛ РУССЛАНД,15.05.2026,Отказ,1
Городские сервисы,14.05.2026,Отказ,1
Хай Вэй Групп,13.05.2026,Отказ,1
Марс,13.05.2026,Отклик (ранее отказ),4
Кудрявцева Екатерина Олеговна,13.05.2026,Отклик,1
Иностранный Холдинг,13.05.2026,Отклик,1
ДЖИЛИ-МОТОРС,13.05.2026,Ответ работодателя,1
ТД Культура Дома,12.05.2026,Отказ,1
"Inventive Retail Group, Офис",12.05.2026,Отклик,1
Федеральная розничная сеть,07.05.2026,Отказ,1
Бьюти Лайф,06.05.2026,Отказ,1
БКС Капитал Бизнес и процессы,05.05.2026,Ответ работодателя,1
UnyBrands,04.05.2026,Отказ,1
Космо Бьюти,30.04.2026,Отклик,1
Гарден Рус,30.04.2026,Отклик,1
Авито: развитие бизнеса и стратегия,30.04.2026,Отказ,1
Оптович (ООО ОПТ 365),29.04.2026,Ответ работодателя,1
Лемана ПРО. Центральный офис,29.04.2026,Отказ,1
Bosco di Ciliegi,29.04.2026,Отклик,1
Акульчев,28.04.2026,Отказ,1
Мы — динамично развивающийся холдинг.,27.04.2026,Отказ,1
Крупная розничная компания,24.04.2026,Отклик,1
Retail Rocket,23.04.2026,Отказ,1
Вертекс,21.04.2026,Ответ работодателя,1
Tefal,21.04.2026,Собеседование,1
"""МТС"", Маркетинг и PR",21.04.2026,Ответ работодателя,1
"СНС, Группа компаний",20.04.2026,Отклик,1
Bausch + Lomb,16.04.2026,Отклик,1
РУСАЛ,14.04.2026,Отклик,1
Мебельная компания Ангстрем,10.04.2026,Собеседование,1
Эйч Би Груп,09.04.2026,Отказ,1
Макарий,09.04.2026,Отказ,1
Mazzon,09.04.2026,Ответ работодателя,1
Hausberg LTD,09.04.2026,Отказ,1
Помощь интернет магазинам,08.04.2026,Отказ,1
"Компания «СПОРТМАСТЕР», Управление бизнесами",08.04.2026,Отклик,1
Сбер. Экспертам и руководителям,07.04.2026,Отказ,2
АП MARKETING,07.04.2026,Отклик,1
Makita,07.04.2026,Отклик,1
"Российский производитель, занимающий лидирующие позиции на маркетплейсах.",03.04.2026,Собеседование,1
Simple. Коммерческая дирекция B2С,02.04.2026,Отказ,2
Тележникова Вера,01.04.2026,Ответ работодателя,1
"Лента, федеральная розничная сеть, Работа в офисе",01.04.2026,Отклик,1
Drhead,01.04.2026,Отказ,2
Международная компания,31.03.2026,Отказ,1
Ликви Моли Руссланд,31.03.2026,Ответ работодателя,2
Novabev Group. Алкогольное направление. Продажи,31.03.2026,Отказ,1
Daewoo Power Products,31.03.2026,Отказ,1
Северсталь. IT & Digital,24.03.2026,Ответ работодателя,1
Нетмонет,24.03.2026,Отказ,1
Alpine floor,24.03.2026,Отказ,1
Мэтифан,23.03.2026,Ответ работодателя,1
Джи Эф Си,20.03.2026,Отказ,1
Favourite Partners,20.03.2026,Отказ,1
Digital-агентство RTA,20.03.2026,Отказ,1
Товары для дома. Бренд №1,19.03.2026,Отклик,1
vteme.consulting,19.03.2026,Ответ работодателя,1
Roomlink,19.03.2026,Ответ работодателя,1
Free Martlet HR Solutions,19.03.2026,Отклик,1
ЛР ГРУП,17.03.2026,Отказ,1
Этажи Москва,12.03.2026,Отказ,2
Т-Банк. Бизнес и процессы. Продажи,12.03.2026,Отказ,1
"Крупная компания, лидер рынка в сегменте продаж ТНП, узнаваемый бренд",11.03.2026,Отклик,1
ВТБ Недвижимость,11.03.2026,Отклик,1
Банк ДОМ.РФ Другие подразделения,11.03.2026,Отказ,2
Maytoni,11.03.2026,Отказ,1
Лоикова Зулия Акрамовна,10.03.2026,Отклик,1
Делекто,10.03.2026,Отклик,1
Щуков Иван Викторович,09.03.2026,Отклик,1
Сотка,05.03.2026,Отказ,1
KuchenLand,04.03.2026,Отказ,1
Дом.ру,03.03.2026,Отказ,1
Т1 НОТА,02.03.2026,Отклик,1
SORP Group,27.02.2026,Отказ,1
РБК,26.02.2026,Ответ работодателя,1
Торгово-производственная компания,25.02.2026,Ответ работодателя,1
ПромТраст,25.02.2026,Отклик,1
SKDESIGN (СК ДИЗАЙН),24.02.2026,Отказ,1
HuntIT,24.02.2026,Отклик,1
Московский ювелирный завод,19.02.2026,Отклик,1
Diamond Personnel R&C,17.02.2026,Отклик,1
X5 Digital,16.02.2026,Отказ,1
Группа компаний КАНТ,02.02.2026,Отклик,1
MARSHALL,19.01.2026,Отказ,1
